;;;;;;;;;;;;; ; ; 
ITEM;EAN Code;Form (Type);Input;Base ;Watts;CCT;Lumens;Rated Life Hours;CRI ;Beam Angle;Dim;Eco Taxe HT;Price List HT 1 to 99;Price List HT 100 to 499;Price List HT > 500
35001-EU-2700;0739189963423;;;;;2700;;;;;;0,12 €;;;
35001-EU-3000;0739189963423;;;;;3000;;;;;;0,12 €;;;
35001-EU-4000;0739189963430;;;;;4000;;;;;;0,12 €;;;
40201-EU; ;E27 R63 7W LED White;220V/240V;E27;7W;27K/30K/40K;450;25000;92;120;YES;0,12 €;9,22 €;9,00 €;8,79 €
40201-EU-2700;0089902158750;;;;;2700;;;;;;;;;
40201-EU-3000;0739189964000;;;;;3000;;;;;;0,12 €;;;
40201-EU-4000;0739189964017;;;;;4000;;;;;;0,12 €;;;
40334-EU; ;E14 3W LED Torpedo Silver clear;220V/240V;E14;3W;27K/30K/40K;330;30000;82;240;NO;0,12 €;7,75 €;7,57 €;7,39 €
40334-EU-2700;0739189964024;;;;;2700;;;;;;0,12 €;;;
40334-EU-3000;0739189964031;;;;;3000;;;;;;0,12 €;;;
40334-EU-4000;0739189964048;;;;;4000;;;;;;0,12 €;;;
40401-EU; ;G4 2W LED;12V;PIN;2W;27K/30K/40K;110;30000;82;350;NO;0,12 €;8,27 €;8,07 €;7,88 €
40401-EU-2700;0739189964055;;;;;2700;;;;;;0,12 €;;;
40401-EU-3000;0739189964062;;;;;3000;;;;;;0,12 €;;;
40401-EU-4000;0739189963591;;;;;4000;;;;;;0,12 €;;;
40402-EU; ;G9 2W LED;220V/240V;PIN;2W;27K/30K/40K;100;25000;82;145;NO;0,12 €;6,36 €;6,21 €;6,06 €
40402-EU-2700;0739189964079;;;;;2700;;;;;;0,12 €;;;
40402-EU-3000;0739189964086;;;;;3000;;;;;;0,12 €;;;
40402-EU-4000;0739189964093;;;;;4000;;;;;;0,12 €;;;
40503-EU; ;E27 PAR16 6W COB LED Clear;220V/240V;E27;6W COB;27K/30K/40K;500;40000;82;60;YES;0,12 €;14,70 €;14,35 €;14,00 €
40503-EU-2700;0739189964109;;;;;2700;;;;;;0,12 €;;;
40503-EU-3000;0739189964116;;;;;3000;;;;;;0,12 €;;;
40503-EU-4000;0739189964123;;;;;4000;;;;;;0,12 €;;;
40505-EU; ;E27 PAR20 8W LED Clear;220V/240V;E27;8W;30K/40K;500;30000;92;38;YES;0,12 €;14,70 €;14,35 €;14,00 €
40505-EU-3000;0739189964130;;;;;3000;;;;;;0,12 €;;;
40505-EU-4000;0739189964147;;;;;4000;;;;;;0,12 €;;;
40506-EU; ;E27 PAR30 11W LED Clear;220V/240V;E27;11W;30K/40K;800;30000;92;38;YES;0,12 €;18,38 €;17,94 €;17,50 €
40506-EU-3000;0739189964154;;;;;3000;;;;;;0,12 €;;;
40506-EU-4000;0739189964161;;;;;4000;;;;;;0,12 €;;;
40603-EU; ;E27 A19 8W LED Filament Clear Eco;220V/240V;E27;8W;27K/30K/40K;900;30000;82;360;NO;0,12 €;15,44 €;15,07 €;14,70 €
40603-EU-2700;0739189964178;;;;;2700;;;;;;0,12 €;;;
40603-EU-3000;0739189963607;;;;;3000;;;;;;0,12 €;;;
40603-EU-4000;0739189963614;;;;;4000;;;;;;0,12 €;;;
40801-EU; ;GU5,3 MR16 5W LED COB BA90°;12V;GU5.3;5W;27K/30K/40K;350;30000;82;90;NO;0,12 €;7,17 €;7,00 €;6,83 €
40801-EU-2200;0089902159085;;;;;2200;;;;;;0,12 €;;;
40801-EU-2700;0739189964185;;;;;2700;;;;;;0,12 €;;;
40801-EU-3000;0739189964192;;;;;3000;;;;;;0,12 €;;;
40801-EU-4000;0739189964208;;;;;4000;;;;;;0,12 €;;;
40804-EU; ;GU5,3 MR16 6W LED COB BA60°;12V;GU5.3;6W;27K/30K/40K;550;30000;82;60;YES;0,12 €;13,78 €;13,45 €;13,13 €
40804-EU-2700;0739189964215;;;;;2700;;;;;;0,12 €;;;
40804-EU-3000;0739189964222;;;;;3000;;;;;;0,12 €;;;
40804-EU-4000;0739189964239;;;;;4000;;;;;;0,12 €;;;
40901-EU; ;GU10 MR16 5W LED COB BA90°;220V/240V;GU10;5W;27K/30K/40K;350;30000;82;90;NO;0,12 €;10,00 €;9,76 €;9,52 €
40901-EU-2200;0089902159092;;;;;2200;;;;;;0,12 €;;;
40901-EU-2700;0739189964246;;;;;2700;;;;;;0,12 €;;;
40901-EU-3000;0739189964253;;;;;3000;;;;;;0,12 €;;;
40901-EU-4000;0739189964260;;;;;4000;;;;;;0,12 €;;;
40903-EU; ;GU10 MR16 8W LED COB BA35°;220V/240V;GU10;8W;27K/30K/40K;540;25000;82;35;NO;0,12 €;19,51 €;19,05 €;18,59 €
40903-EU-3000;0739189963577;;;;;3000;;;;;;0,12 €;;;
40903-EU-4000;0739189963584;;;;;4000;;;;;;0,12 €;;;
41004-EU; ;E27 A19 7W LED Milky White ;220V/240V;E27;7W;27K/30K/40K;560;30000;82;270;YES;0,12 €;9,19 €;8,97 €;8,75 €
41004-EU-2700;0739189964277;;;;;2700;;;;;;0,12 €;;;
41004-EU-3000;0739189964284;;;;;3000;;;;;;0,12 €;;;
41004-EU-4000;0739189964291;;;;;4000;;;;;;0,12 €;;;
41005-EU; ;E27 A19 9W LED  Milky White ;220V/240V;E27;9W;27K/30K/40K;750;30000;82;270;YES;0,12 €;11,03 €;10,76 €;10,50 €
41005-EU-2700;0739189964307;;;;;3000;;;;;;0,12 €;;;
41005-EU-3000;0739189964307;;;;;4000;;;;;;0,12 €;;;
41011-EU; ;E14 5W LED Flame Tip Silver Clear;220V/240V;E14;5W;27K/30K/40K;550;30000;80;360;YES;0,12 €;13,05 €;12,74 €;12,43 €
41011-EU-2700;0739189964314;;;;;2700;;;;;;0,12 €;;;
41011-EU-3000;0739189964321;;;;;3000;;;;;;0,12 €;;;
41011-EU-4000;0739189964338;;;;;4000;;;;;;0,12 €;;;
41013-EU; ;GU5,3 MR16 3W LED COB BA60°;12V;GU5.3;3W;27K/30K/40K;210;30000;82;60;NO;0,12 €;7,28 €;7,10 €;6,93 €
41013-EU-2700;0739189964345;;;;;2700;;;;;;0,12 €;;;
41013-EU-3000;0739189964352;;;;;3000;;;;;;0,12 €;;;
41013-EU-4000;0739189964369;;;;;4000;;;;;;0,12 €;;;
41017-EU; ;GU5,3 MR16 6W LED (Wet Location) BA30°;12V;GU5.3;6W;27K/30K/40K;150;14000;70;30;NO;0,12 €;21,98 €;21,45 €;20,93 €
41017-EU-2700;0739189964376;;;;;2700;;;;;;0,12 €;;;
41017-EU-3000;0739189964383;;;;;3000;;;;;;0,12 €;;;
41017-EU-4000;0739189964390;;;;;4000;;;;;;0,12 €;;;
41023-EU-4000;0739189964406;T8 LED Tube (Ballast comp.) UL,CUL,DLC (48") 18 Watt 1220mm;220V/240V;G13;22W;30K/40K/65K;2200;30000;82;120;NO;0,12 €;21,72 €;21,20 €;20,68 €
41025-EU; ;E27 A19 6W LED Filament Clear Eco;220V/240V;E27;6W;27K/30K/40K;600;30000;82;360;YES;0,12 €;11,76 €;11,48 €;11,20 €
41025-EU-2700;0739189964413;;;;;2700;;;;;;0,12 €;;;
41025-EU-3000;0739189963621;;;;;3000;;;;;;0,12 €;;;
41025-EU-4000;0739189963638;;;;;4000;;;;;;0,12 €;;;
41030-EU; ;GU10 MR16 6W LED COB BA60°;220V/240V;GU10;6W;27K/30K/40K;600;50000;80;60;YES;0,12 €;11,03 €;10,76 €;10,50 €
41030-EU-2700;0089902155711;;;;;2700;;;;;;0,12 €;;;
41030-EU-3000;0739189963447;;;;;3000;;;;;;0,12 €;;;
41030-EU-4000;0739189963454;;;;;4000;;;;;;0,12 €;;;
41032-EU; ;G4 3W LED High Lumen;220V/240V;PIN;3W;27K/30K/40K;160;30000;82;360;NO;0,12 €;12,13 €;11,84 €;11,55 €
41032-EU-2200;0089902159115;;;;;2200;;;;;;0,12 €;;;
41032-EU-2700;0739189964420;;;;;2700;;;;;;0,12 €;;;
41032-EU-3000;0739189964437;;;;;3000;;;;;;0,12 €;;;
41032-EU-4000;0739189964444;;;;;4000;;;;;;0,12 €;;;
41034-EU-4000;0739189964451;T8 18W LED TUBE (Ballast not comp.) 1200 mm Frosted;220V/240V;G13;18W;30K/40K/65K;1800;30000;82;120;NO;0,12 €;27,56 €;26,91 €;26,25 €
41036-EU; ;G4 5W LED Super Lumen;12V;PIN;5W;27K/30K/40K;220;30000;82;360;NO;0,12 €;14,22 €;13,88 €;13,55 €
41036-EU-2700;0739189964468;;;;;2700;;;;;;0,12 €;;;
41036-EU-3000;0739189964475;;;;;3000;;;;;;0,12 €;;;
41036-EU-4000;0739189964482;;;;;4000;;;;;;0,12 €;;;
41037-EU; ;G9 5W LED Super Lument;220V/240V;PIN;5W;27K/30K/40K;350;30000;82;360;NO;0,12 €;11,10 €;10,83 €;10,57 €
41037-EU-2200;0089902159108;;;;;2200;;;;;;0,12 €;;;
41037-EU-2700;0739189964499;;;;;2700;;;;;;0,12 €;;;
41037-EU-3000;0739189964505;;;;;3000;;;;;;0,12 €;;;
41037-EU-4000;0739189964512;;;;;4000;;;;;;0,12 €;;;
41038-EU; ;G4 7,5W LED Super Lumen;12V;PIN;7.5W;27K/30K/40K;250;30000;82;360;NO;0,12 €;19,11 €;18,66 €;18,20 €
41038-EU-2700;0739189964529;;;;;2700;;;;;;0,12 €;;;
41038-EU-3000;0739189964536;;;;;3000;;;;;;0,12 €;;;
41038-EU-4000;0739189964543;;;;;4000;;;;;;0,12 €;;;
41044-EU; ;E27 A19 4W LED Multi Filament Céramic Clear CRI92;220V/240V;E27;4W;27K/30K/40K;400;30000;82;360;No;0,12 €;7,68 €;7,50 €;7,32 €
41044-EU-2700;0739189964550;;;;;2700;;;;;;0,12 €;;;
41044-EU-3000;0739189964567;;;;;3000;;;;;;0,12 €;;;
41044-EU-4000;0089902150006;;;;;4000;;;;;;0,12 €;;;
41046-EU; ;E14 Silver 6W LED Torpedo clear;220V/240V;E14;6W;27K/30K/40K;580;30000;82;300;YES;0,12 €;12,86 €;12,56 €;12,25 €
41046-EU-2700;0089902150013;;;;;2700;;;;;;0,12 €;;;
41046-EU-3000;0089902150020;;;;;3000;;;;;;0,12 €;;;
41046-EU-4000;0089902150037;;;;;4000;;;;;;0,12 €;;;
41047-EU; ;E14 Silver 6W LED Flame Tip Clear;220V/240V;E14;6W;27K/30K/40K;580;30000;82;300;YES;0,12 €;12,86 €;12,56 €;12,25 €
41047-EU-2700;0089902150044;;;;;2700;;;;;;0,12 €;;;
41047-EU-3000;0089902150051;;;;;3000;;;;;;0,12 €;;;
41047-EU-4000;0089902150068;;;;;4000;;;;;;0,12 €;;;
41063-EU; ;E14 4W LED Candle Torpedo Filament Clair;220V/240V;E14;4W;27K/30K/40K;400;30000;92;360;YES;0,12 €;7,02 €;6,85 €;6,69 €
41063-EU-2700;0739189963645;;;;;2700;;;;;;0,12 €;;;
41063-EU-3000;0089902150075;;;;;3000;;;;;;0,12 €;;;
41063-EU-4000;0089902150082;;;;;4000;;;;;;0,12 €;;;
41064-EU; ;E14 S14 5W LED Wet Location Clear;220V/240V;E27;5W;27K/30K/40K;425;30000;82;360;No;0,12 €;16,28 €;15,89 €;15,51 €
41064-EU-2700;0089902150099;;;;;2700;;;;;;0,12 €;;;
41064-EU-3000;0089902150105;;;;;3000;;;;;;0,12 €;;;
41064-EU-4000;0089902150112;;;;;4000;;;;;;0,12 €;;;
41067-EU; ;E14 2W LED Candle Torpedo Filament Clair;220V/240V;E14;2W;27K/30K/40K;200;30000;92;360;YES;0,12 €;4,92 €;4,81 €;4,69 €
41067-EU-2700;0739189963652;;;;;2700;;;;;;0,12 €;;;
41067-EU-3000;0089902150129;;;;;3000;;;;;;0,12 €;;;
41067-EU-4000;0089902150136;;;;;4000;;;;;;0,12 €;;;
41068-EU; ;E27 A19 4W LED Multi Filament Clear  ;220V/240V;E27;4W;27K/30K/40K;400;30000;92;360;YES;0,12 €;8,64 €;8,43 €;8,23 €
41068-EU-2700;0089902150143;;;;;2700;;;;;;0,12 €;;;
41068-EU-3000;0089902150150;;;;;3000;;;;;;0,12 €;;;
41068-EU-4000;0089902150167;;;;;4000;;;;;;0,12 €;;;
41069-EU; ;E27 A19 5W LED Multi Filament Clear  ;220V/240V;E27;5W;27K/30K/40K;500;30000;92;360;YES;0,12 €;5,88 €;5,74 €;5,60 €
41069-EU-2200;0089902159078;;;;;2200;;;;;;0,12 €;;;
41069-EU-2700;0089902150174;;;;;2700;;;;;;0,12 €;;;
41069-EU-3000;0739189963560;;;;;3000;;;;;;0,12 €;;;
41069-EU-4000;0089902150181;;;;;4000;;;;;;0,12 €;;;
41070-EU; ;E27 A19 6W LED Multi Filament Clear  ;220V/240V;E27;6W;27K/30K/40K;600;30000;92;360;YES;0,12 €;10,99 €;10,73 €;10,47 €
41070-EU-2700;0739189963669;;;;;2700;;;;;;0,12 €;;;
41070-EU-3000;0739189963676;;;;;3000;;;;;;0,12 €;;;
41070-EU-4000;0739189963683;;;;;4000;;;;;;0,12 €;;;
41073-EU-3500;0089902150198;E40 45W LED Corn Light Mogul ;AC85-265V/277V;E40;45W;3500;3500;30000;80;360;NO;0,12 €;137,81 €;134,53 €;131,25 €
41074-EU; ;G9 6W LED;220V/240V;PIN;6W;27K/30K/40K;480;50000;82;360;YES;0,12 €;15,03 €;14,67 €;14,32 €
41074-EU-2700;0089902150204;;;;;2700;;;;;;0,12 €;;;
41074-EU-3000;0089902150211;;;;;3000;;;;;;0,12 €;;;
41074-EU-4000;0089902150228;;;;;4000;;;;;;0,12 €;;;
41075-EU; ;E27 R90 15W LED White;220V/240V;E27;15W;30K/40K;800;25000;82;180;YES;0,12 €;23,19 €;22,64 €;22,09 €
41075-EU-3000;0089902150235;;;;;3000;;;;;;0,12 €;;;
41075-EU-4000;0089902150242;;;;;4000;;;;;;0,12 €;;;
41080-EU; ;G45 2W LED Filament Globe Clear;220V/240V;E14;2W;27K/30K/40K;200;30000;92;360;YES;0,12 €;4,92 €;4,81 €;4,69 €
41080-EU-2700;0089902150259;;;;;2700;;;;;;0,12 €;;;
41080-EU-3000;0089902150266;;;;;3000;;;;;;0,12 €;;;
